id	label	description	url	x	y	cluster	weight<Links>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
36	andreas e stuck (1999)	"<table><tr><td>Authors:</td><td>andreas e stuck; jutta m walthert; thorsten nikolaus; christophe j bula; christoph hohmann; john c beck</td></tr><tr><td>Title:</td><td>risk factors for functional status decline in community-living elderly people: a systematic literature review.</td></tr><tr><td>Source:</td><td>social science & medicine, 48(4), 445-469</td></tr><tr><td>Year:</td><td>1999</td></tr></table>"	https://doi.org/10.1016/s0277-9536(98)00370-0	-0.0353	-0.3822	9	2	1485	10.4513	1999	1485	10.4513
41	elizabeth boyle (2016)	"<table><tr><td>Authors:</td><td>elizabeth boyle; thomas hainey; thomas connolly; grant gray; jeffrey earp; michela ott; theodore lim; manuel ninaus; claudia ribeiro; joao pereira</td></tr><tr><td>Title:</td><td>an update to the systematic literature review of empirical evidence of the impacts and outcomes of computer games and serious games</td></tr><tr><td>Source:</td><td>computers in education, 94(94), 178-192</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1016/j.compedu.2015.11.003	-0.4298	-0.3122	14	4	309	16.9038	2016	309	16.9038
47	konstantinos manikas (2013)	"<table><tr><td>Authors:</td><td>konstantinos manikas; klaus marius hansen</td></tr><tr><td>Title:</td><td>software ecosystems - a systematic literature review</td></tr><tr><td>Source:</td><td>journal of systems and software, 86(5), 1294-1306</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1016/j.jss.2012.12.026	0.2622	-0.3749	11	2	271	6.7363	2013	271	6.7363
49	cheryl rathert (2013)	"<table><tr><td>Authors:</td><td>cheryl rathert; mary d wyrwich; suzanne austin boren</td></tr><tr><td>Title:</td><td>patient-centered care and outcomes: a systematic review of the literature</td></tr><tr><td>Source:</td><td>medical care research and review, 70(4), 351-379</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1177/1077558712465774	0.6051	-0.6869	13	2	406	10.0921	2013	406	10.0921
54	shelley a sternberg (2011)	"<table><tr><td>Authors:</td><td>shelley a sternberg; andrea wershof schwartz; sathya karunananthan; howard bergman; a mark clarfield</td></tr><tr><td>Title:</td><td>the identification of frailty:: a systematic literature review</td></tr><tr><td>Source:</td><td>journal of the american geriatrics society, 59(11), 2129-2138</td></tr><tr><td>Year:</td><td>2011</td></tr></table>"	https://doi.org/10.1111/j.1532-5415.2011.03597.x	0.7451	-0.5674	13	2	410	7.516	2011	410	7.516
58	jose luis fernandezaleman (2013)	"<table><tr><td>Authors:</td><td>jose luis fernandezaleman; inmaculada carrion senor; pedro angel oliver lozoya; ambrosio toval</td></tr><tr><td>Title:</td><td>security and privacy in electronic health records: a systematic literature review</td></tr><tr><td>Source:</td><td>journal of biomedical informatics, 46(3), 541-562</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1016/j.jbi.2012.12.003	0.2525	0.3832	24	5	298	7.4075	2013	298	7.4075
61	amika s singh (2012)	"<table><tr><td>Authors:</td><td>amika s singh; leonie uijtdewilligen; jos w r twisk; willem van mechelen; mai j m chinapaw</td></tr><tr><td>Title:</td><td>physical activity and performance at school: a systematic review of the literature including a methodological quality assessment.</td></tr><tr><td>Source:</td><td>jama pediatrics, 166(1), 49-55</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1001/archpediatrics.2011.716	0.831	-0.9362	28	1	379	8.3101	2012	379	8.3101
64	annalisa cocchia (2014)	"<table><tr><td>Authors:</td><td>annalisa cocchia</td></tr><tr><td>Title:</td><td>smart and digital city: a systematic literature review</td></tr><tr><td>Source:</td><td>[no source], 13-43</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1007/978-3-319-06160-3_2	-0.515	-0.5988	19	3	245	8.252	2014	245	8.252
66	amin jula (2014)	"<table><tr><td>Authors:</td><td>amin jula; elankovan a sundararajan; zalinda othman</td></tr><tr><td>Title:</td><td>review: cloud computing service composition: a systematic literature review</td></tr><tr><td>Source:</td><td>expert systems with applications, 41(8), 3809-3824</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1016/j.eswa.2013.12.017	-0.163	0.3568	29	4	251	8.4541	2014	251	8.4541
77	nikolaos volakakis (2014)	"<table><tr><td>Authors:</td><td>nikolaos volakakis; chris j seal; roy a sanderson; gavin b stewart; charles m benbrook; bruno biavati; emilia markellou; charilaos giotis; joanna gromadzkaostrowska; ewa rembiaokowska; raija tahvonen; dagmar janovska; urs niggli; philippe c nicot; carlo leifert</td></tr><tr><td>Title:</td><td>higher antioxidant and lower cadmium concentrations and lower incidence of pesticide residues in organically grown crops: a systematic literature review and meta-analyses</td></tr><tr><td>Source:</td><td>british journal of nutrition, 112(5), 794-811</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1017/s0007114514001366	-0.7679	0.2892	32	2	269	9.0604	2014	269	9.0604
81	wiebke reim (2015)	"<table><tr><td>Authors:</td><td>wiebke reim; vinit parida; daniel ortqvist</td></tr><tr><td>Title:</td><td>product–service systems (pss) business models and tactics – a systematic literature review</td></tr><tr><td>Source:</td><td>journal of cleaner production, 97, 61-75</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1016/j.jclepro.2014.07.003	-0.5244	0.0832	1	14	343	12.9427	2015	343	12.9427
83	jennie popay (1998)	"<table><tr><td>Authors:</td><td>jennie popay; anne rogers; gareth williams</td></tr><tr><td>Title:</td><td>rationale and standards for the systematic review of qualitative literature in health services research</td></tr><tr><td>Source:</td><td>qualitative health research, 8(3), 341-351</td></tr><tr><td>Year:</td><td>1998</td></tr></table>"	https://doi.org/10.1177/104973239800800305	-0.9879	0.3279	4	4	733	4.5903	1998	733	4.5903
86	irum inayat (2015)	"<table><tr><td>Authors:</td><td>irum inayat; siti salwah salim; sabrina marczak; maya daneva; shahaboddin shamshirband</td></tr><tr><td>Title:</td><td>a systematic literature review on agile requirements engineering practices and challenges</td></tr><tr><td>Source:</td><td>computers in human behavior, 51, 915-929</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1016/j.chb.2014.10.046	0.9133	-0.0661	2	8	205	7.7355	2015	205	7.7355
93	sarah beecham (2008)	"<table><tr><td>Authors:</td><td>sarah beecham; nathan baddoo; tracy hall; hugh robinson; helen sharp</td></tr><tr><td>Title:</td><td>motivation in software engineering: a systematic literature review</td></tr><tr><td>Source:</td><td>information & software technology, 50(9), 860-878</td></tr><tr><td>Year:</td><td>2008</td></tr></table>"	https://doi.org/10.1016/j.infsof.2007.09.004	0.5498	-0.0793	23	8	316	3.3691	2008	316	3.3691
102	tatyana shamliyan (2013)	"<table><tr><td>Authors:</td><td>tatyana shamliyan; kristine mc talley; rema ramakrishnan; robert l kane</td></tr><tr><td>Title:</td><td>association of frailty with survival: a systematic literature review.</td></tr><tr><td>Source:</td><td>ageing research reviews, 12(2), 719-736</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1016/j.arr.2012.03.001	0.7397	-0.6087	13	2	299	7.4323	2013	299	7.4323
122	philip achimugu (2014)	"<table><tr><td>Authors:</td><td>philip achimugu; ali selamat; roliana ibrahim; mohd nazri mahrin</td></tr><tr><td>Title:</td><td>a systematic literature review of software requirements prioritization research</td></tr><tr><td>Source:</td><td>information & software technology, 56(6), 568-585</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1016/j.infsof.2014.02.001	0.7053	-0.1388	17	8	170	5.7259	2014	170	5.7259
123	belen cruz zapata (2015)	"<table><tr><td>Authors:</td><td>belen cruz zapata; jose luis fernandezaleman; ali idri; ambrosio toval</td></tr><tr><td>Title:</td><td>empirical studies on usability of mhealth apps: a systematic literature review</td></tr><tr><td>Source:</td><td>journal of medical systems, 39(2), 1-19</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1007/s10916-014-0182-2	-0.0083	0.4197	24	5	212	7.9996	2015	212	7.9996
130	chitu okoli (2010)	"<table><tr><td>Authors:</td><td>chitu okoli; kira schabram</td></tr><tr><td>Title:</td><td>a guide to conducting a systematic literature review of information systems research</td></tr><tr><td>Source:</td><td>[no source], 10(26)</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/10.2139/ssrn.1954824	-0.2211	0.1933	22	19	454	6.5242	2010	454	6.5242
151	nizar becheikh (2006)	"<table><tr><td>Authors:</td><td>nizar becheikh; rejean landry; nabil amara</td></tr><tr><td>Title:</td><td>lessons from innovation empirical studies in the manufacturing sector: a systematic review of the literature from 1993-2003</td></tr><tr><td>Source:</td><td>technovation, 26(5), 644-664</td></tr><tr><td>Year:</td><td>2006</td></tr></table>"	https://doi.org/10.1016/j.technovation.2005.06.016	-0.5286	0.2238	12	4	605	6.49	2006	605	6.49
157	melanie racine (2012)	"<table><tr><td>Authors:</td><td>melanie racine; yannick tousignantlaflamme; lorie a kloda; dominique dion; gilles dupuis; manon choiniere</td></tr><tr><td>Title:</td><td>a systematic literature review of 10 years of research on sex/gender and experimental pain perception - part 1: are there really differences between women and men?</td></tr><tr><td>Source:</td><td>pain, 153(3), 602-618</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1016/j.pain.2011.11.025	-0.0333	-0.4126	9	2	370	8.1128	2012	370	8.1128
181	jianfeng wen (2012)	"<table><tr><td>Authors:</td><td>jianfeng wen; shixian li; zhiyong lin; yong hu; changqin huang</td></tr><tr><td>Title:</td><td>systematic literature review of machine learning based software development effort estimation models</td></tr><tr><td>Source:</td><td>information & software technology, 54(1), 41-59</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1016/j.infsof.2011.09.002	0.9063	-0.0519	2	3	214	4.6923	2012	214	4.6923
190	emam hossain (2009)	"<table><tr><td>Authors:</td><td>emam hossain; muhammad ali babar; hyeyoung paik</td></tr><tr><td>Title:</td><td>using scrum in global software development: a systematic literature review</td></tr><tr><td>Source:</td><td>international conference on global software engineering, 175-184</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/10.1109/icgse.2009.25	0.9056	0.0458	2	11	218	3.0317	2009	218	3.0317
202	norsaremah salleh (2011)	"<table><tr><td>Authors:</td><td>norsaremah salleh; emilia mendes; john grundy</td></tr><tr><td>Title:</td><td>empirical studies of pair programming for cs/se teaching in higher education: a systematic literature review</td></tr><tr><td>Source:</td><td>ieee transactions on software engineering, 37(4), 509-525</td></tr><tr><td>Year:</td><td>2011</td></tr></table>"	https://doi.org/10.1109/tse.2010.59	0.7869	-0.0062	8	2	187	3.428	2011	187	3.428
214	mark turner (2010)	"<table><tr><td>Authors:</td><td>mark turner; barbara kitchenham; pearl brereton; stuart charters; david budgen</td></tr><tr><td>Title:</td><td>does the technology acceptance model predict actual use? a systematic literature review</td></tr><tr><td>Source:</td><td>information & software technology, 52(5), 463-479</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/10.1016/j.infsof.2009.11.005	0.3673	0.0708	16	2	366	5.2596	2010	366	5.2596
217	tim sharp (2013)	"<table><tr><td>Authors:</td><td>tim sharp; emily moran; isla kuhn; stephen barclay</td></tr><tr><td>Title:</td><td>do the elderly have a voice? advance care planning discussions with frail and older individuals: a systematic literature review and narrative synthesis</td></tr><tr><td>Source:</td><td>british journal of general practice, 63(615), 657-668</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.3399/bjgp13x673667	-1.3587	-0.3736	18	2	119	2.958	2013	119	2.958
235	denise linda parris (2013)	"<table><tr><td>Authors:</td><td>denise linda parris; jon welty peachey</td></tr><tr><td>Title:</td><td>a systematic literature review of servant leadership theory in organizational contexts</td></tr><tr><td>Source:</td><td>journal of business ethics, 113(3), 377-393</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1007/s10551-012-1322-6	-0.4436	0.6961	5	4	288	7.1589	2013	288	7.1589
241	matthias galster (2014)	"<table><tr><td>Authors:</td><td>matthias galster; danny weyns; dan tofan; bartosz michalik; paris avgeriou</td></tr><tr><td>Title:</td><td>variability in software systems—a systematic literature review</td></tr><tr><td>Source:</td><td>ieee transactions on software engineering, 40(3), 282-306</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1109/tse.2013.56	0.2885	-0.1359	9	9	134	4.5133	2014	134	4.5133
246	ayca tarhan (2016)	"<table><tr><td>Authors:</td><td>ayca tarhan; oktay turetken; hajo a reijers</td></tr><tr><td>Title:</td><td>business process maturity models : a systematic literature review</td></tr><tr><td>Source:</td><td>information & software technology, 75(75), 122-134</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1016/j.infsof.2016.01.010	0.0257	-0.1998	9	2	87	4.7593	2016	87	4.7593
252	roberto merli (2017)	"<table><tr><td>Authors:</td><td>roberto merli; michele preziosi; alessia acampora</td></tr><tr><td>Title:</td><td>how do scholars approach the circular economy? a systematic literature review</td></tr><tr><td>Source:</td><td>journal of cleaner production, 178, 703-722</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1016/j.jclepro.2017.12.112	-0.6441	-0.3072	1	5	194	13.2056	2017	194	13.2056
263	tan yigitcanlar (2019)	"<table><tr><td>Authors:</td><td>tan yigitcanlar; md kamruzzaman; marcus foth; jamile sabatinimarques; eduardo moreira da costa; giuseppe ioppolo</td></tr><tr><td>Title:</td><td>can cities become smart without being sustainable? a systematic review of the literature</td></tr><tr><td>Source:</td><td>sustainable cities and society, 45, 348-365</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1016/j.scs.2018.11.033	-0.6192	-0.572	19	6	122	25.943	2019	122	25.943
264	reza kachouie (2014)	"<table><tr><td>Authors:</td><td>reza kachouie; sima sedighadeli; rajiv khosla; meitai chu</td></tr><tr><td>Title:</td><td>socially assistive robots in elderly care: a mixed-method systematic literature review</td></tr><tr><td>Source:</td><td>international journal of human-computer interaction, 30(5), 369-393</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1080/10447318.2013.873278	-0.636	1.2461	5	2	147	4.9512	2014	147	4.9512
270	andrew luxtonreilly (2018)	"<table><tr><td>Authors:</td><td>andrew luxtonreilly; simon; ibrahim albluwi; brett a becker; michail n giannakos; amruth n kumar; linda ott; james h paterson; michael james scott; judy sheard; claudia szabo</td></tr><tr><td>Title:</td><td>introductory programming: a systematic literature review</td></tr><tr><td>Source:</td><td>proceedings companion of the 23rd annual acm conference on innovation and technology in computer science education, 55-106</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1145/3293881.3295779	1.0867	-0.4079	35	2	59	6.676	2018	59	6.676
287	francisco linan (2015)	"<table><tr><td>Authors:</td><td>francisco linan; alain fayolle</td></tr><tr><td>Title:</td><td>a systematic literature review on entrepreneurial intentions: citation, thematic analyses, and research agenda</td></tr><tr><td>Source:</td><td>international entrepreneurship and management journal, 11(4), 907-933</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1007/s11365-015-0356-5	-0.3907	0.0416	10	4	313	11.8107	2015	313	11.8107
288	cristina gimenez (2012)	"<table><tr><td>Authors:</td><td>cristina gimenez; elcio m tachizawa</td></tr><tr><td>Title:</td><td>extending sustainability to suppliers: a systematic literature review</td></tr><tr><td>Source:</td><td>supply chain management, 17(5), 531-543</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1108/13598541211258591	-0.7306	-0.1909	26	10	350	7.6743	2012	350	7.6743
299	jens k roehrich (2014a)	"<table><tr><td>Authors:</td><td>jens k roehrich; michael lewis; gerard george</td></tr><tr><td>Title:</td><td>are public-private partnerships a healthy option? a systematic literature review.</td></tr><tr><td>Source:</td><td>social science & medicine, 113, 110-119</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1016/j.socscimed.2014.03.037	-0.6282	0.1614	10	2	161	5.4228	2014	161	5.4228
314	seyedrebvar hosseini (2019)	"<table><tr><td>Authors:</td><td>seyedrebvar hosseini; burak turhan; dimuthu gunarathna</td></tr><tr><td>Title:</td><td>a systematic literature review and meta-analysis on cross project defect prediction</td></tr><tr><td>Source:</td><td>ieee transactions on software engineering, 45(2), 111-147</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1109/tse.2017.2770124	0.6788	0.2896	25	5	67	14.2474	2019	67	14.2474
326	paul j taylor (2020)	"<table><tr><td>Authors:</td><td>paul j taylor; tooska dargahi; ali dehghantanha; reza m parizi; kimkwang raymond choo</td></tr><tr><td>Title:</td><td>a systematic literature review of blockchain cyber security</td></tr><tr><td>Source:</td><td>digital communications and networks, 6(2), 147-156</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.dcan.2019.01.005	0.6922	0.3301	25	2	69	50.631	2020	69	50.631
335	janine fleith de medeiros (2014)	"<table><tr><td>Authors:</td><td>janine fleith de medeiros; jose luis duarte ribeiro; marcelo nogueira cortimiglia</td></tr><tr><td>Title:</td><td>success factors for environmentally sustainable product innovation: a systematic literature review</td></tr><tr><td>Source:</td><td>journal of cleaner production, 65(65), 76-86</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1016/j.jclepro.2013.08.035	-0.6559	-0.3078	1	2	229	7.7131	2014	229	7.7131
338	sandra g nunn (2016)	"<table><tr><td>Authors:</td><td>sandra g nunn; john t avella; therese kanai; mansureh kebritchi</td></tr><tr><td>Title:</td><td>learning analytics methods, benefits, and challenges in higher education: a systematic literature review.</td></tr><tr><td>Source:</td><td>online learning, 20(2), 13-29</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.24059/olj.v20i2.790	1.2324	-0.223	34	2	83	4.5405	2016	83	4.5405
347	alex roehrs (2017)	"<table><tr><td>Authors:</td><td>alex roehrs; cristiano andre da costa; rodrigo da rosa righi; kleinner silva farias de oliveira</td></tr><tr><td>Title:</td><td>personal health records: a systematic literature review</td></tr><tr><td>Source:</td><td>journal of medical internet research, 19(1)</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.2196/jmir.5876	0.5017	0.4	33	1	97	6.6028	2017	97	6.6028
350	marleen h van den berg (2007)	"<table><tr><td>Authors:</td><td>marleen h van den berg; j w schoones; theodora p m vliet vlieland</td></tr><tr><td>Title:</td><td>internet-based physical activity interventions: a systematic review of the literature</td></tr><tr><td>Source:</td><td>journal of medical internet research, 9(3)</td></tr><tr><td>Year:</td><td>2007</td></tr></table>"	https://doi.org/10.2196/jmir.9.3.e26	1.1258	0.9411	20	3	313	3.4306	2007	313	3.4306
353	michael unterkalmsteiner (2012)	"<table><tr><td>Authors:</td><td>michael unterkalmsteiner; tony gorschek; a k m m islam; chow kian cheng; rahadian bayu permadi; robert feldt</td></tr><tr><td>Title:</td><td>evaluation and measurement of software process improvement—a systematic literature review</td></tr><tr><td>Source:</td><td>ieee transactions on software engineering, 38(2), 398-424</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1109/tse.2011.26	0.8789	0.0097	8	4	163	3.574	2012	163	3.574
358	jorritjan verlaan (2004)	"<table><tr><td>Authors:</td><td>jorritjan verlaan; carel h diekerhof; erik buskens; i van der tweel; a j verbout; wouter j a dhert; f c oner</td></tr><tr><td>Title:</td><td>surgical treatment of traumatic fractures of the thoracic and lumbar spine: a systematic review of the literature on techniques, complications, and outcome.</td></tr><tr><td>Source:</td><td>spine, 29(7), 803-814</td></tr><tr><td>Year:</td><td>2004</td></tr></table>"	https://doi.org/10.1097/01.brs.0000116990.31984.a9	1.4279	0.5001	31	2	293	1.9168	2004	293	1.9168
359	jose arturo garzareyes (2015)	"<table><tr><td>Authors:</td><td>jose arturo garzareyes</td></tr><tr><td>Title:</td><td>lean and green – a systematic review of the state of the art literature</td></tr><tr><td>Source:</td><td>journal of cleaner production, 102, 18-29</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1016/j.jclepro.2015.04.064	-0.5796	-0.3304	6	7	201	7.5845	2015	201	7.5845
391	evamaria schon (2017)	"<table><tr><td>Authors:</td><td>evamaria schon; jorg thomaschewski; m j escalona</td></tr><tr><td>Title:</td><td>agile requirements engineering: a systematic literature review</td></tr><tr><td>Source:</td><td>computer standards & interfaces, 49(49), 79-91</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1016/j.csi.2016.08.011	0.9276	-0.0781	2	1	85	5.786	2017	85	5.786
410	nicola l harman (2013)	"<table><tr><td>Authors:</td><td>nicola l harman; iain a bruce; peter callery; stephanie tierney; mohammad o sharif; kevin d obrien; paula r williamson</td></tr><tr><td>Title:</td><td>moment -- management of otitis media with effusion in cleft palate: protocol for a systematic review of the literature and identification of a core outcome set using a delphi survey.</td></tr><tr><td>Source:</td><td>trials, 14(1), 70-70</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1186/1745-6215-14-70	-1.093	0.3682	4	4	104	2.5852	2013	104	2.5852
415	gursimran s walia (2009)	"<table><tr><td>Authors:</td><td>gursimran s walia; jeffrey c carver</td></tr><tr><td>Title:</td><td>a systematic literature review to identify and classify software requirement errors</td></tr><tr><td>Source:</td><td>information & software technology, 51(7), 1087-1109</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/10.1016/j.infsof.2009.01.004	0.6386	-0.0243	7	5	138	1.9191	2009	138	1.9191
416	jens k roehrich (2014b)	"<table><tr><td>Authors:</td><td>jens k roehrich; m k lewis; g george</td></tr><tr><td>Title:</td><td>are public-private partnerships a healthy option? a systematic literature review of “constructive” partnerships between public and private actors</td></tr><tr><td>Source:</td><td>social science & medicine</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1016/j.socscimed.2014.03.037	-0.6336	0.1573	10	2	136	4.5807	2014	136	4.5807
443	lion shahab (2009)	"<table><tr><td>Authors:</td><td>lion shahab; andy mcewen</td></tr><tr><td>Title:</td><td>online support for smoking cessation: a systematic review of the literature.</td></tr><tr><td>Source:</td><td>addiction, 104(11), 1792-1804</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/10.1111/j.1360-0443.2009.02710.x	1.1434	0.9519	20	2	209	2.9065	2009	209	2.9065
451	sunil nair (2014)	"<table><tr><td>Authors:</td><td>sunil nair; jose luis de la vara; mehrdad sabetzadeh; lionel c briand</td></tr><tr><td>Title:</td><td>an extended systematic literature review on provision of evidence for safety certification</td></tr><tr><td>Source:</td><td>information & software technology, 56(7), 689-717</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1016/j.infsof.2014.03.001	0.7319	-0.0775	7	2	61	2.0546	2014	61	2.0546
