id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
28	accurate detection	0.1245	0.4739	3	159	225	13	2019.8462	44.6154	26.2638
29	accurate diagnosis	0.1185	0.7664	3	332	556	35	2017.4857	15.0286	5.3214
30	accurate estimation	1.464	-0.2691	2	243	449	23	2017.6522	15.6957	2.8959
31	accurate method	1.2701	-0.2239	2	154	203	12	2018.25	8.3333	2.6349
32	accurate model	1.1323	-0.3893	2	228	361	25	2016.56	20.48	2.3915
33	accurate prediction	0.862	0.032	2	470	907	62	2017.5161	7.5968	2.2561
34	accurate result	0.649	-0.1444	2	362	576	40	2017.45	5.15	1.6096
35	aco	0.8789	-0.425	2	177	268	19	2016.3158	78.8421	4.9337
36	act	-0.5135	-0.3963	1	416	670	75	2013.92	4.0667	0.8675
37	active learning	-0.6161	-0.2825	1	91	125	11	2018.1818	3.1818	1.1108
38	active role	-0.6706	-0.0469	1	96	115	12	2011.75	24.5	3.0479
39	actor	-0.5373	-0.3876	1	508	938	91	2016.1429	7.8022	1.3392
40	actual data	0.9942	-0.4895	2	134	175	12	2015.9167	7.8333	1.1367
41	actuator	0.4161	-0.5083	2	191	298	33	2012.9697	9.0909	1.4909
42	acute kidney injury	0.483	1.023	3	120	185	13	2019.6923	2.7692	1.0778
43	ada	-0.063	0.1884	3	102	121	16	2009.625	0.75	0.3691
44	adaboost	0.5134	0.6017	3	182	230	10	2019.5	3.8	1.5132
45	adaptive network	1.2103	-0.4697	2	207	376	23	2015.2174	9.8696	2.4274
46	adaptive neuro fuzzy inference system	1.3021	-0.3783	2	707	2978	171	2016.5497	14.4503	2.2666
47	addison wesley	-0.4006	-0.6867	1	39	62	14	1987.7143	1.2857	0.2165
48	additional research	-0.3986	0.5939	3	83	102	10	2014.4	3.8	0.8765
49	additive manufacturing	-0.0471	-0.4418	1	56	75	11	2019.3636	1.9091	0.4691
50	adenoma	-0.3011	1.4823	3	119	260	17	2019.8824	12.5882	6.8337
51	adenoma detection rate	-0.361	1.339	3	128	261	16	2019.75	3.1875	1.3859
52	adherence	-0.4397	0.3089	3	253	379	35	2017.2	10.6	3.1843
53	admission	0.1421	0.8599	3	363	717	36	2018.0556	5.1111	1.3199
54	adolescent	-0.1371	0.53	3	110	137	11	2019	1.0909	0.3385
55	adr	-0.2973	1.3322	3	107	212	12	2019.5833	5	4.825
56	adsorption	1.3648	-0.239	2	191	383	22	2018.4545	9.9545	2.1019
57	adult patient	0.0625	1.1364	3	219	320	15	2019.4667	1.5333	1.0202
58	advanced technology	-0.5507	-0.1874	1	272	388	41	2015.8537	3.6829	0.6727
59	adversary	-0.2143	-0.5036	1	71	113	17	2018.5882	3.8824	2.3769
60	adverse event	0.0247	0.9136	3	217	302	18	2019.5556	3.9444	0.9554
61	advertising	-0.6658	-0.1035	1	86	117	16	2016.5	8.8125	1.4122
62	advocate	-0.7016	-0.3272	1	216	291	26	2012.5	11.8846	2.0178
63	affair	-0.5566	-0.515	1	178	237	20	2015.15	4.85	0.8431
64	africa	-0.0673	0.2385	3	140	195	25	2017.96	2.52	0.8049
65	agenda	-0.7051	-0.3262	1	292	455	48	2017.7083	11.6875	2.3028
66	agi	-0.5857	-0.5408	1	241	416	57	2016.9474	5.807	1.0017
67	agreement	0.2661	0.3638	3	914	2199	146	2016.4315	8.8973	2.01
68	ai adoption	-0.4943	0.2234	1	163	226	21	2019.7619	7.1429	2.2604
69	ai analysis	0.3455	1.0794	3	128	171	11	2018.7273	12.5455	1.8705
70	ai assistance	-0.1968	1.025	3	191	301	19	2020	3.8421	2.3762
71	ai capability	-0.4561	-0.4271	1	205	274	32	2015.5938	4.1875	2.3224
72	ai community	-0.4094	-0.33	1	181	231	25	2004.88	15.4	2.6677
73	ai concept	-0.3271	-0.4462	1	145	203	32	2005.5938	19.75	2.4319
74	ai course	-0.5766	-0.4495	1	71	116	16	2011	12.3125	1.1247
75	ai development	-0.6801	-0.1012	1	423	662	64	2016.7188	4.8125	1.2436
76	ai education	-0.7101	-0.0106	1	141	198	20	2017.75	3.85	0.8221
77	ai ethic	-0.8018	-0.3301	1	124	181	18	2019.4444	2.5	1.0006
78	ai field	-0.6613	-0.2739	1	137	171	18	2010.1667	9.6667	0.7867
79	ai governance	-0.7943	-0.3357	1	96	134	14	2019.0714	7.5714	1.5808
80	ai implementation	-0.5821	0.1854	1	334	482	38	2019.5	8.2105	2.1835
81	ai industry	-0.6456	-0.258	1	133	205	19	2019.0526	6.5263	1.48
82	ai literature	-0.5239	-0.2859	1	102	115	10	2003.5	10.5	1.3338
83	ai machine	-0.8009	-0.3257	1	105	132	12	2013	6.1667	0.6437
84	ai magazine	-0.4914	-0.6382	1	31	56	14	2008.5	2	0.2112
85	ai ml	-0.3864	0.1064	1	250	343	31	2019.6774	3.1613	1.9061
86	ai model	0.6019	0.3197	2	1197	3797	244	2018.0164	8.6475	3.5139
87	ai platform	-0.1667	0.6817	3	207	298	25	2019.04	4.88	1.8748
88	ai problem	-0.3272	-0.5612	1	137	172	21	2000.5238	29.7619	1.8344
89	ai product	-0.5941	0.1658	1	174	232	18	2014.2778	3.3333	0.7679
90	ai project	-0.5342	-0.2518	1	140	175	21	2013.5238	6.2857	1.0244
91	ai research	-0.5652	-0.2017	1	779	1572	168	2009.2917	6.869	1.2264
92	ai researcher	-0.5453	-0.3752	1	378	574	59	2007.6271	13.5085	1.8994
93	ai revolution	-0.7385	-0.2172	1	102	126	12	2018.8333	25.0833	4.1949
94	ai service	-0.3516	-0.2866	1	55	73	13	2019	3.6154	0.8936
95	ai software	-0.2636	0.5912	3	220	341	25	2014.72	9.32	2.1923
96	ai strategy	-0.6606	-0.2089	1	155	223	20	2018.45	1.9	0.6979
97	ai study	-0.2743	0.9275	3	224	317	22	2015.0455	15.7273	2.4441
98	ai theory	-0.4132	-0.535	1	70	90	13	2006.9231	3.2308	0.5621
99	ai usage	-0.7223	-0.2591	1	127	176	12	2018.4167	5	1.1523
100	ai use	-0.5318	0.3588	3	283	389	26	2019.5769	3.8077	1.0382
101	ai work	-0.6402	-0.3491	1	116	146	15	2007.9333	12.5333	6.7387
102	aied	-0.8348	-0.3342	1	73	123	14	2016.1429	12.1429	2.3257
103	aiia	-0.3352	-0.5208	1	53	67	14	2006.1429	18	1.4827
104	aiml	-0.5237	-0.4668	1	49	81	12	2017.75	2.3333	0.2889
105	air	0.5375	-0.4163	2	351	566	46	2015.7391	9.9783	2.6209
106	air pollution	0.6866	-0.2651	2	161	213	17	2016.4118	8.0588	0.9316
107	ait	0.4751	-0.5466	2	88	104	10	2017.2	7.3	0.9945
108	alan turing	-0.7082	-0.453	1	153	229	21	2013.1429	4.1429	0.6291
109	alexa	-0.6532	-0.157	1	148	207	25	2019.12	5.12	0.9096
110	algorithm development	0.0941	0.8199	3	246	360	20	2017.75	7.45	2.1693
111	alloy	1.0399	-0.3774	2	213	390	35	2015.0571	6.5714	0.9705
112	alphago	-0.41	-0.4371	1	93	121	16	2017.8125	5.0625	0.8162
113	alternative method	0.7368	0.0074	2	123	170	14	2010.0714	40.5	9.7935
114	alternative way	0.7456	-0.0804	2	111	144	13	2013.5385	41.2308	2.9667
115	alzheimer	-0.0226	0.6812	3	233	402	32	2018.375	3.6875	0.9236
116	amazon	-0.5738	-0.2035	1	115	153	18	2018.3889	1.5	0.3022
117	ambient intelligence	-0.2279	-0.3765	1	145	189	23	2011.2609	28.6087	2.1727
118	ambient temperature	1.0946	-0.585	2	112	166	12	2014.25	7.3333	1.8494
119	ambition	-0.4373	-0.2523	1	161	211	24	2015.0833	3.9583	1.0255
120	amd	0.0424	1.0698	3	159	289	14	2019.0714	6.7857	2.6628
121	american	-0.5759	-0.269	1	190	227	14	2014.5714	11.6429	1.7166
122	american association	-0.2858	0.6496	3	201	341	20	2009.25	5.3	1.0246
123	ami	-0.3581	0.029	1	97	117	10	2009.2	44.6	3.5634
124	amsterdam	-0.47	-0.7469	1	80	200	38	1993.6579	9	0.6123
125	analogy	-0.4896	-0.4953	1	337	497	59	2005.4915	7.2034	0.9112
126	analysis result	0.8447	-0.0432	2	257	386	27	2016.2963	9.037	1.6259
127	analytical model	0.7423	-0.5305	2	118	157	13	2013.3077	7.3846	1.1638
128	android	-0.2546	-0.3412	1	147	171	14	2016.2857	2	0.2723
129	anfi	1.215	-0.4646	2	271	506	30	2015.8667	13.1	1.6805
130	anfis	1.3197	-0.3963	2	749	3648	207	2016.57	15.372	2.2721
131	anfis model	1.43	-0.3338	2	376	1085	56	2016.6071	21.3571	3.2708
132	angle	0.5577	-0.2441	2	587	1117	85	2013.0235	6.7176	1.7077
133	animation	-0.3107	-0.5145	1	104	144	18	2009.2222	2.8333	0.2835
134	ann	1.0569	-0.228	2	1540	10896	721	2015.552	11.5784	1.8296
135	ann algorithm	1.0911	0.03	2	159	211	12	2018.1667	8.3333	2.3051
136	ann approach	1.2174	-0.2473	2	128	184	10	2016.1	10.4	2.0647
137	ann ga	1.2071	-0.2446	2	118	176	11	2016.6364	13.4545	2.2852
138	ann model	1.2631	-0.1707	2	773	2821	157	2016.0382	13.4841	2.2018
139	ann technique	1.2817	-0.4157	2	116	160	10	2014	16.3	1.3647
140	annealing	0.4658	-0.4572	2	87	123	16	2007.9375	21.1875	2.4145
141	annotation	-0.1003	0.6039	3	470	852	62	2018.2581	4.3548	1.7998
142	anns	0.8645	-0.1623	2	865	2475	167	2014.1677	14.2754	1.8453
143	anova	0.6962	0.3508	2	194	310	15	2016.6	9.3333	1.7442
144	ant colony optimization	0.6789	-0.4545	2	221	334	28	2016	58.1429	3.5762
145	anthropomorphism	-0.7399	-0.5265	1	77	112	14	2016.6429	1.5714	1.0026
146	antibiotic	0.1074	0.6219	3	115	161	13	2012.6154	21.4615	1.6991
147	anticipation	-0.3746	-0.4191	1	138	180	23	2012.3043	4.913	0.6742
148	anyone	-0.4943	-0.3462	1	151	189	22	2011.1818	6	0.6486
149	anything	-0.546	-0.4986	1	157	211	30	2010.1667	10.8	0.7416
150	apple	-0.634	-0.0523	1	121	153	12	2017	8.0833	1.0265
151	appliance	0.2684	-0.4572	2	192	288	30	2016.1	5.5667	0.9114
152	application domain	-0.249	-0.4625	1	169	230	32	2009.875	5.8438	1.0274
153	application example	-0.2528	-0.3223	1	79	110	14	2011	6.2143	0.6164
154	application field current status	-0.2418	-1.0157	1	7	26	10	1986	0	0
155	application prospect	-0.2958	0.0143	1	145	183	22	2017.8636	0.6818	0.2375
156	application research	-0.1729	-0.1003	1	62	81	15	2019.8667	0.2	0.1159
157	application status	-0.4098	0.0199	1	89	125	18	2019.1111	0.6111	0.1688
158	applied artificial intelligence	-0.3196	-0.5996	1	94	115	32	2007.9062	12.4688	1.2285
159	appropriate treatment	0.0744	0.9174	3	178	249	12	2018.75	4.5833	2.1969
160	approval	-0.3067	0.603	3	326	502	33	2019.4242	5.5758	2.3722
161	approximation	0.3008	-0.3884	2	412	643	50	2012.22	13.16	1.4148
162	apr	-0.2274	0.9927	3	172	293	10	2017.3	0.3	0.0421
163	april	-0.2076	0.4094	3	465	838	53	2014.283	2.4528	1.2944
164	aqueous solution	1.4826	-0.2803	2	121	277	15	2017.6	13.8	2.2809
165	arena	-0.5845	-0.1664	1	242	359	33	2015.4848	3.8485	1.2937
166	argument	-0.6457	-0.4699	1	643	1362	148	2009.4865	10.9662	1.0852
167	argumentation	-0.6568	-0.6096	1	119	191	27	2011.6667	43.3704	3.5026
168	arima	1.0958	-0.3267	2	147	239	14	2017.9286	6.4286	1.5262
169	arrhythmia	-0.0031	0.8727	3	161	235	16	2018.0625	5.5625	1.0157
170	artificial agent	-0.4769	-0.5312	1	178	259	33	2014.7273	15.7879	1.8635
171	artificial bee colony	0.7614	-0.3451	2	130	205	18	2016.6667	5.6667	0.8002
172	artificial consciousness	-0.5948	-0.6833	1	42	53	11	2013.8182	3.3636	0.4209
173	artificial general intelligence	-0.5585	-0.5454	1	356	707	116	2016.2586	8.5517	1.4762
174	artificial immune system	0.0665	-0.5209	1	142	198	24	2014.2083	6.9583	0.9262
175	artificial intelligence adoption	-0.3557	0.0897	1	89	99	14	2019.7143	1.6429	1.0896
176	artificial intelligence algorithms	0.4874	0.1627	2	346	501	73	2018.0411	3.7671	0.69
177	artificial intelligence analysis	0.174	0.6036	3	222	301	29	2016.069	3.0345	0.7667
178	artificial intelligence approach	0.4879	-0.2068	2	1451	4786	592	2009.2618	9.9037	1.2807
179	artificial intelligence capability	-0.3581	-0.4602	1	61	74	13	2016.4615	3.3077	0.6267
180	artificial intelligence community	-0.4775	-0.7273	1	58	77	14	2002.5714	11.2857	0.7298
181	artificial intelligence conference	-0.4778	-0.6233	1	29	61	13	2007	4.2308	0.2331
182	artificial intelligence control	0.7488	-0.6442	2	112	150	26	2016.3462	1	0.3152
183	artificial intelligence course	-0.5424	-0.5121	1	121	219	38	2009.5263	8.1316	0.6226
184	artificial intelligence development	-0.5807	-0.3344	1	165	226	45	2016.4	2.9556	0.4025
185	artificial intelligence education	-0.633	-0.388	1	96	150	31	2014.7742	0.9355	0.2011
186	artificial intelligence environment	-0.1993	-0.4283	1	79	96	16	2010.1875	2.625	0.3257
187	artificial intelligence era	-0.3495	-0.2918	1	64	88	31	2018.8065	1.9677	1.3303
188	artificial intelligence expert system	0.2888	-0.3325	2	80	92	16	1998.9375	2.625	0.2914
189	artificial intelligence help	-0.4026	0.2368	1	65	74	13	2017.1538	6.2308	0.8799
190	artificial intelligence industry	-0.5426	-0.2263	1	69	98	20	2018.95	0.4	0.1072
191	artificial intelligence laboratory	-0.4244	-0.5632	1	57	79	16	1992.375	1.9375	0.3369
192	artificial intelligence language	-0.113	-0.6327	1	29	49	14	1987.8571	2.3571	0.2114
193	artificial intelligence machine	-0.4072	0.1234	1	111	136	24	2016.1667	4.7083	0.7247
194	artificial intelligence machine learning	-0.447	0.4042	3	83	109	12	2019.3333	2.0833	0.9409
195	artificial intelligence method	0.5672	-0.125	2	1417	4813	555	2013.2198	9.1315	1.1749
196	artificial intelligence methods	0.468	-0.3028	2	245	366	45	2014.8444	5.0667	0.6987
197	artificial intelligence model	0.7939	0.1438	2	1101	3442	271	2016.8893	8.69	1.7941
198	artificial intelligence modeling	0.9462	-0.0492	2	130	169	17	2016	5	1.5522
199	artificial intelligence modelling	0.4799	-0.2471	2	62	67	11	2007.2727	6.3636	0.7121
200	artificial intelligence models	0.8203	-0.119	2	256	405	40	2016.375	6.85	0.9856
201	artificial intelligence neural network	0.3263	0.8411	3	146	177	16	2013.75	1.6875	0.2938
202	artificial intelligence paradigm	0.4998	0.0586	2	116	137	16	2010.6875	14.125	2.1798
203	artificial intelligence perspective	-0.2182	-0.5199	1	147	190	46	2004.7391	20.3043	1.4696
204	artificial intelligence planning	-0.038	-0.3868	1	43	54	14	2004.5714	14.7143	1.1364
205	artificial intelligence platform	-0.2292	0.7434	3	230	363	41	2019.0488	7.9756	1.3462
206	artificial intelligence problem	0.0483	-0.5482	1	60	76	18	2003.1667	11.7778	0.6974
207	artificial intelligence programming	-0.4066	-0.5697	1	70	91	18	1987.9444	9.2778	0.5598
208	artificial intelligence project	-0.5315	-0.3051	1	70	78	16	2007.1875	3.125	0.9142
209	artificial intelligence research	-0.4007	-0.2929	1	570	1002	174	2002.3736	12.7586	1.167
210	artificial intelligence researcher	-0.6606	-0.4764	1	92	129	17	2002.8824	13.5882	0.8124
211	artificial intelligence revolution	-0.6611	-0.2679	1	114	131	22	2019.0909	1.0455	0.1987
212	artificial intelligence robot	-0.6542	-0.6123	1	45	51	15	2017.8	1.6	0.2108
213	artificial intelligence robots	-0.8637	-0.5949	1	51	59	12	2018.9167	0.25	0.0342
214	artificial intelligence series	-0.5523	-0.8137	1	15	29	10	1993.4	0	0
215	artificial intelligence software	0.0494	0.2913	3	129	148	22	2015.2727	3.5455	0.4123
216	artificial intelligence techniques	0.484	-0.2949	2	1046	2553	406	2011.9778	6.4778	1.221
217	artificial intelligent technique	0.6712	-0.3415	2	165	221	20	2014.2	19.95	1.7317
218	artificial life	-0.4077	-0.5735	1	148	223	40	2007.125	18.7	2.1149
219	artificial neural network	0.8469	-0.2092	2	2008	16351	1271	2014.8891	11.251	1.5993
220	artificial neural network model	0.7302	-0.0317	2	273	397	32	2015.375	11.1562	1.1717
221	artificial neural networks	0.5326	-0.3061	2	394	632	55	2014.1091	11.9455	1.5674
222	artificial swarm intelligence	0.2448	-0.2501	2	75	128	13	2018.1538	7.8462	1.1926
223	artificial system	-0.5463	-0.4195	1	179	249	28	2009.3929	303.8929	7.6379
224	artist	-0.7753	-0.4799	1	121	177	23	2012.4783	5.1739	0.6385
225	artwork	-0.7366	-0.4426	1	105	152	19	2016.3158	1.1579	0.232
226	asd	-0.1376	0.5371	3	144	231	17	2017.0588	3.0588	0.8502
227	asi	0.0988	-0.2904	2	62	107	12	2012.6667	12.0833	1.7802
228	asia	-0.1877	0.2673	3	208	262	21	2016.7143	0.381	0.0432
229	assembly	-0.0867	-0.5362	1	230	307	39	2001.7179	5.641	0.6742
230	asthma	0.1643	0.9862	3	142	209	16	2017.6875	3.0625	0.7885
231	atom	0.3784	-0.1785	4	109	158	22	2003.8182	10.5	1.5013
232	atrial fibrillation	-0.0012	0.9086	3	207	362	28	2018.7143	7.0714	1.5681
233	attacker	-0.0996	-0.3373	1	80	107	15	2018	2.6	0.5781
234	attitude	-0.595	-0.0011	1	565	1137	115	2017.6957	2.8696	0.7906
235	attribution	-0.6334	-0.0176	1	223	308	27	2018.8889	4.1111	1.3497
236	auc	0.3784	1.1212	3	866	3749	171	2019.1111	10.6491	2.9152
237	audience	-0.608	-0.4122	1	336	512	57	2009.4211	21.4386	4.9235
238	auditing	-0.6273	-0.2711	1	71	100	21	2012.4286	8.2381	1.1954
239	augmented intelligence	-0.4468	-0.2203	1	45	54	10	2018.6	1.3	0.3655
240	august	-0.3074	0.2559	3	491	803	61	2010.1967	20.1311	6.4094
241	auroc	0.3541	1.0947	3	309	572	25	2019.28	5.32	2.0808
242	authentication	-0.2475	-0.3184	1	116	162	24	2018.3333	3.5	0.7104
243	authenticity	-0.6077	-0.361	1	108	123	11	2016.4545	8	1.279
244	authorship	-0.7216	-0.3089	1	102	137	17	2015.5882	5.0588	0.5002
245	autism	-0.2033	0.2867	3	82	118	14	2017.5	6.4286	1.4122
246	autism spectrum disorder	-0.2441	0.4634	3	105	165	12	2017.9167	8.5833	1.4738
247	automata	-0.461	-0.6127	1	179	252	25	2002.96	119	5.8443
248	automated analysis	-0.2745	0.7485	3	155	187	14	2012.7857	8	1.265
249	automated decision making	-0.6329	-0.3534	1	72	89	12	2016.1667	2.4167	0.8767
250	automated detection	0.0312	1.1427	3	198	286	17	2019.2941	9.2353	2.1601
251	automated diagnosis	-0.2962	0.7216	3	142	182	14	2016.1429	12.4286	1.92
252	automated reasoning	-0.3293	-0.6331	1	85	106	12	2004.75	37.8333	4.0895
253	automatic classification	0.5208	0.3372	2	189	274	21	2015.4762	20.8095	2.4953
254	automatic control	0.0306	-0.5417	1	59	79	14	2004.3571	17.5	1.4143
255	automatic detection	0.2707	0.8693	3	273	418	32	2018.5625	4.8438	1.3574
256	automatic identification	0.2728	0.9188	3	136	175	14	2019.2857	2.4286	0.6702
257	automatic system	0.1113	-0.309	1	91	119	15	2003.2	4.4	0.4517
258	automaton	-0.5637	-0.5397	1	117	158	17	2008.8824	4.5882	0.3633
259	autonomous agent	-0.4682	-0.5134	1	126	180	23	2009.7826	5.3478	0.5772
260	autonomous artificial intelligence	-0.7238	-0.0521	1	75	96	14	2019.4286	1.5714	0.8477
261	autonomous car	-0.448	-0.4707	1	79	104	14	2019.0714	1.5	0.2581
262	autonomous driving	-0.2554	-0.1914	1	63	75	11	2018.3636	2.2727	0.5303
263	autonomous robot	-0.3045	-0.5229	1	135	189	20	2012.5	18.85	2.0176
264	autonomous system	-0.5076	-0.4319	1	274	401	48	2017.0833	5.2917	1.0658
265	autonomous vehicle	-0.296	-0.3795	1	315	453	58	2018.2414	6.6207	1.4655
266	autonomy	-0.6666	-0.245	1	633	1286	126	2016.1429	5.0476	1.0873
267	available data	0.373	0.0411	2	304	504	37	2013.8919	5.027	1.0174
268	available dataset	0.1267	0.9083	3	198	299	17	2019.3529	8.3529	2.9243
269	avatar	-0.5088	-0.2541	1	118	148	16	2015.4375	3.9375	0.5744
270	average	0.5757	0.062	2	743	1606	117	2016.4103	19.735	2.7936
271	average accuracy	0.6234	0.5104	3	199	265	19	2018.6842	1.6316	0.5179
272	avoidance	0.272	-0.4136	2	183	225	24	2013.5417	2.7083	0.3858
273	award	-0.3884	-0.0772	1	138	189	23	2014.3043	8.1739	1.0426
274	axiom	-0.4737	-0.5019	1	122	163	19	2002.3684	150.6316	7.421
275	back propagation	0.6973	-0.4096	2	115	142	11	2013.8182	11.6364	1.503
276	backpropagation	0.4409	-0.4901	2	167	220	17	2014	12.3529	1.1604
277	backpropagation algorithm	0.6956	-0.3644	2	149	192	16	2013.0625	13.6875	0.9609
278	bagging	0.3692	-0.0978	2	130	167	12	2016.75	3.0833	0.8378
279	banking	-0.6822	-0.3593	1	194	303	36	2015.1389	5.75	1.039
280	banking sector	-0.5889	-0.4739	1	77	109	21	2019.3333	0.2381	0.047
281	bar	0.5304	-0.3703	2	178	244	23	2011.0435	3	0.4492
282	barrett	-0.1506	1.4489	3	128	233	17	2017.2941	3.1765	1.4685
283	based model	1.0051	0.2853	2	162	212	14	2018.2143	29.2857	5.2597
284	basic research	-0.3567	-0.1431	1	129	172	20	2006.2	3.25	0.6141
285	basic understanding	-0.3927	0.1498	1	82	100	11	2016.0909	9.7273	1.8612
286	battery	0.4483	-0.5153	2	179	252	27	2017.1852	9.1481	1.2664
287	bayesian artificial intelligence	-0.167	-0.3006	1	46	49	17	2010.3529	12.3529	0.9018
288	beam	0.736	-0.0059	2	221	356	35	2014.0286	5.8571	1.4989
289	bearing	0.391	-0.3473	2	131	205	26	2013.5769	3.0385	0.5115
290	behavioral	-0.6235	0.1448	1	77	101	13	2014.5385	2.9231	0.401
291	beijing	0.1041	-0.4077	1	126	151	14	2018.2143	3.7143	0.5785
292	being	-0.6283	-0.436	1	273	401	41	2013.4634	1.878	0.3697
293	belief	-0.4857	-0.409	1	399	716	79	2005.5063	15.6203	1.5385
294	belief function	0.24	-0.2946	2	120	165	14	2004.2857	34.0714	3.3696
295	benign lesion	0.1698	1.3564	3	126	190	10	2019.7	1.6	0.9068
296	berlin	-0.4147	-0.6516	1	93	170	26	1997.7308	0.6923	0.4812
297	best accuracy	1.4735	-0.0479	2	141	213	12	2018.5833	11.1667	2.1713
298	best method	0.8134	-0.3872	2	115	142	10	2016.3	11.2	2.9016
299	best model	1.0483	0.0715	2	388	725	41	2016.9756	11.0244	1.6837
300	best performance	0.9407	0.1394	2	543	1054	60	2016.65	15.2167	1.8863
301	best result	0.7412	-0.0421	2	321	487	36	2016.7222	8	1.5796
302	better accuracy	0.814	0.0762	2	243	337	20	2016.85	10.8	2.9208
303	better performance	0.8656	-0.0904	2	621	1169	73	2016.411	6.3425	1.7899
304	better prediction	0.5988	0.258	2	198	255	15	2016.3333	10.6	1.833
305	better result	0.68	-0.1575	2	479	809	62	2016.5968	6.7419	0.7424
306	beyond	-0.4132	-0.1838	1	91	106	12	2017.3333	11.9167	3.0182
307	bibliography	-0.2962	-0.5287	1	85	112	25	1990.56	13.64	1.0244
308	bibliometric analysis	-0.5672	-0.028	1	184	270	31	2019.3226	4.9677	1.5835
309	big data era	-0.0571	0.1154	4	134	184	20	2019	10.45	3.0166
310	big data technology	-0.2752	-0.3242	1	107	128	21	2019.8571	10.8095	2.8947
311	billion	-0.2363	-0.1276	1	180	234	24	2015.3333	14.375	3.8963
312	bio	0.1116	-0.4322	1	219	281	27	2015.6296	9.6667	1.2406
313	bioinformatic	-0.0733	0.1106	3	205	303	34	2014.7647	12.0882	1.4581
314	bioinformatics	-0.9188	-1.2411	5	87	367	64	2013.2344	3.8281	0.318
315	biological	-0.0144	-0.5285	1	81	98	17	2009.9412	3.4118	0.4346
316	biological intelligence	-0.3247	-0.3693	1	104	126	16	2008.3125	6	0.7828
317	biomarker	-0.0276	0.9742	3	643	1653	107	2019.1028	6.1682	1.8178
318	biomass	1.2173	-0.3712	2	164	247	18	2016.3333	9.0556	1.6371
319	biomedical research	-0.2159	0.083	1	137	182	17	2014.9412	16.1176	2.3349
320	biomedicine	-0.4184	-0.0454	1	158	212	23	2016.8261	4.5652	1.0862
321	biopsy	-0.0281	1.2212	3	490	1375	76	2018.7237	6.8553	2.1076
322	bird	0.2335	-0.2507	2	96	133	16	2013.5625	4.4375	0.5824
323	bladder cancer	0.243	0.8871	3	162	259	19	2014.6316	5.7895	0.8752
324	blindness	-0.1468	1.1292	3	183	390	24	2018.9167	6.875	1.8704
325	blockchain	-0.4563	-0.2798	1	316	538	81	2019.5062	4.8519	1.8925
326	blockchain technology	-0.446	-0.2877	1	173	254	34	2019.5	5.1471	1.5571
327	blood	0.2054	0.7205	3	319	529	34	2017.8235	2	0.6066
328	blood pressure	0.2404	0.8093	3	268	482	32	2017.7188	5.3438	0.9881
329	bmi	0.178	0.4898	3	203	269	18	2019.1667	2.2222	0.5141
330	board game	-0.4289	-0.5038	1	138	193	23	2014.6522	3.913	0.5927
